EPISODE,WINS,LOSSES,DRAWS,EXPLORATION RATE,LEARNING RATE,Q-TABLE SIZE
1000,444,430,126,0.99802099,0.2996250938,4985
2000,437,450,113,0.99604396,0.2992503751,8597
3000,443,430,127,0.99406891,0.2988758442,11555
4000,459,418,123,0.99209584,0.298501501,14031
5000,425,453,122,0.99012475,0.2981273457,16123
6000,443,429,128,0.98815564,0.2977533784,18020
7000,423,437,140,0.98618851,0.2973795991,19656
8000,423,434,143,0.98422336,0.297006008,21055
9000,446,445,109,0.98226019,0.2966326052,22270
10000,443,438,119,0.980299,0.2962593907,23361
11000,437,441,122,0.97833979,0.2958863646,24316
12000,439,441,120,0.97638256,0.2955135271,25118
13000,461,420,119,0.97442731,0.2951408782,25833
14000,451,437,112,0.97247404,0.2947684181,26446
15000,434,441,125,0.97052275,0.2943961468,27042
16000,425,453,122,0.96857344,0.2940240644,27541
17000,454,428,118,0.96662611,0.293652171,28029
18000,423,458,119,0.96468076,0.2932804667,28447
19000,435,414,151,0.96273739,0.2929089517,28832
20000,419,455,126,0.960796,0.2925376259,29142
21000,406,458,136,0.95885659,0.2921664896,29438
22000,454,435,111,0.95691916,0.2917955428,29747
23000,413,444,143,0.95498371,0.2914247855,29996
24000,434,438,128,0.95305024,0.291054218,30207
25000,474,411,115,0.95111875,0.2906838402,30416
26000,449,433,118,0.94918924,0.2903136523,30600
27000,428,462,110,0.94726171,0.2899436545,30755
28000,440,438,122,0.94533616,0.2895738467,30911
29000,437,442,121,0.94341259,0.289204229,31054
30000,461,441,98,0.941491,0.2888348017,31181
31000,446,436,118,0.93957139,0.2884655647,31292
32000,447,440,113,0.93765376,0.2880965182,31387
33000,437,445,118,0.93573811,0.2877276623,31470
34000,444,449,107,0.93382444,0.2873589971,31544
35000,438,442,120,0.93191275,0.2869905226,31625
36000,445,420,135,0.93000304,0.286622239,31695
37000,446,433,121,0.92809531,0.2862541464,31757
38000,442,445,113,0.92618956,0.2858862448,31811
39000,434,443,123,0.92428579,0.2855185344,31851
40000,448,428,124,0.922384,0.2851510153,31885
41000,447,432,121,0.92048419,0.2847836875,31928
42000,425,440,135,0.91858636,0.2844165513,31965
43000,456,427,117,0.91669051,0.2840496065,31991
44000,456,423,121,0.91479664,0.2836828535,32024
45000,448,422,130,0.91290475,0.2833162922,32048
46000,438,448,114,0.91101484,0.2829499227,32076
